;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 14/10/2014 14:27:41
;----------------------------------------------

;Address Opcode 	ASM
0x0048	0x0000      	NOP
;__Lib_Delays.c,33 :: 		}
L_end_Delay_5500us:
0x0049	0x0008      	RETURN
; end of _Delay_5500us
_Delay_50us:
;__Lib_Delays.c,19 :: 		void Delay_50us() {
;__Lib_Delays.c,20 :: 		Delay_us(50);
0x004A	0x3021      	MOVLW      33
0x004B	0x1283      	BCF        STATUS, 5
0x004C	0x1303      	BCF        STATUS, 6
0x004D	0x00FD      	MOVWF      R13
L_Delay_50us2:
0x004E	0x0BFD      	DECFSZ     R13, 1
0x004F	0x284E      	GOTO       L_Delay_50us2
;__Lib_Delays.c,21 :: 		}
L_end_Delay_50us:
0x0050	0x0008      	RETURN
; end of _Delay_50us
_VDelay_ms:
;__Lib_Delays.c,82 :: 		void VDelay_ms(unsigned Time_ms){
;__Lib_Delays.c,84 :: 		NumberOfCyc = Clock_kHz()>>2; // this will be done by compiler, no asm will be genereated except that for assignment;
0x0051	0x30D0      	MOVLW      208
0x0052	0x1283      	BCF        STATUS, 5
0x0053	0x1303      	BCF        STATUS, 6
0x0054	0x00C0      	MOVWF      VDelay_ms_NumberOfCyc_L0
0x0055	0x3007      	MOVLW      7
0x0056	0x00C1      	MOVWF      VDelay_ms_NumberOfCyc_L0+1
0x0057	0x01C2      	CLRF       VDelay_ms_NumberOfCyc_L0+2
0x0058	0x01C3      	CLRF       VDelay_ms_NumberOfCyc_L0+3
;__Lib_Delays.c,85 :: 		NumberOfCyc *= Time_ms;
0x0059	0x30D0      	MOVLW      208
0x005A	0x00F0      	MOVWF      R0
0x005B	0x3007      	MOVLW      7
0x005C	0x00F1      	MOVWF      R0+1
0x005D	0x3000      	MOVLW      0
0x005E	0x00F2      	MOVWF      R0+2
0x005F	0x3000      	MOVLW      0
0x0060	0x00F3      	MOVWF      R0+3
0x0061	0x083E      	MOVF       FARG_VDelay_ms_Time_ms, 0
0x0062	0x00F4      	MOVWF      R4
0x0063	0x083F      	MOVF       FARG_VDelay_ms_Time_ms+1, 0
0x0064	0x00F5      	MOVWF      R4+1
0x0065	0x01F6      	CLRF       R4+2
0x0066	0x01F7      	CLRF       R4+3
0x0067	0x2006      	CALL       _Mul_32x32_U
0x0068	0x0870      	MOVF       R0, 0
0x0069	0x00C0      	MOVWF      VDelay_ms_NumberOfCyc_L0
0x006A	0x0871      	MOVF       R0+1, 0
0x006B	0x00C1      	MOVWF      VDelay_ms_NumberOfCyc_L0+1
0x006C	0x0872      	MOVF       R0+2, 0
0x006D	0x00C2      	MOVWF      VDelay_ms_NumberOfCyc_L0+2
0x006E	0x0873      	MOVF       R0+3, 0
0x006F	0x00C3      	MOVWF      VDelay_ms_NumberOfCyc_L0+3
;__Lib_Delays.c,86 :: 		if (NumberOfCyc < 690)
0x0070	0x3000      	MOVLW      0
0x0071	0x0273      	SUBWF      R0+3, 0
0x0072	0x1D03      	BTFSS      STATUS, 2
0x0073	0x287E      	GOTO       L__VDelay_ms38
0x0074	0x3000      	MOVLW      0
0x0075	0x0272      	SUBWF      R0+2, 0
0x0076	0x1D03      	BTFSS      STATUS, 2
0x0077	0x287E      	GOTO       L__VDelay_ms38
0x0078	0x3002      	MOVLW      2
0x0079	0x0271      	SUBWF      R0+1, 0
0x007A	0x1D03      	BTFSS      STATUS, 2
0x007B	0x287E      	GOTO       L__VDelay_ms38
0x007C	0x30B2      	MOVLW      178
0x007D	0x0270      	SUBWF      R0, 0
L__VDelay_ms38:
0x007E	0x1803      	BTFSC      STATUS, 0
0x007F	0x2881      	GOTO       L_VDelay_ms15
;__Lib_Delays.c,87 :: 		return;
0x0080	0x28C0      	GOTO       L_end_VDelay_ms
L_VDelay_ms15:
;__Lib_Delays.c,88 :: 		NumberOfCyc -= 690;
0x0081	0x30B2      	MOVLW      178
0x0082	0x00F0      	MOVWF      R0
0x0083	0x3002      	MOVLW      2
0x0084	0x00F1      	MOVWF      R0+1
0x0085	0x01F2      	CLRF       R0+2
0x0086	0x01F3      	CLRF       R0+3
0x0087	0x0870      	MOVF       R0, 0
0x0088	0x02C0      	SUBWF      VDelay_ms_NumberOfCyc_L0, 1
0x0089	0x0871      	MOVF       R0+1, 0
0x008A	0x1C03      	BTFSS      STATUS, 0
0x008B	0x0F71      	INCFSZ     R0+1, 0
0x008C	0x02C1      	SUBWF      VDelay_ms_NumberOfCyc_L0+1, 1
0x008D	0x0872      	MOVF       R0+2, 0
0x008E	0x1C03      	BTFSS      STATUS, 0
0x008F	0x0F72      	INCFSZ     R0+2, 0
0x0090	0x02C2      	SUBWF      VDelay_ms_NumberOfCyc_L0+2, 1
0x0091	0x0873      	MOVF       R0+3, 0
0x0092	0x1C03      	BTFSS      STATUS, 0
0x0093	0x0F73      	INCFSZ     R0+3, 0
0x0094	0x02C3      	SUBWF      VDelay_ms_NumberOfCyc_L0+3, 1
;__Lib_Delays.c,89 :: 		NumberOfCyc =  NumberOfCyc >> 5; // Dec and While below take around 32 instructions
0x0095	0x3005      	MOVLW      5
0x0096	0x00F0      	MOVWF      R0
0x0097	0x0870      	MOVF       R0, 0
L__VDelay_ms39:
0x0098	0x1903      	BTFSC      STATUS, 2
0x0099	0x28A1      	GOTO       L__VDelay_ms40
0x009A	0x0CC3      	RRF        VDelay_ms_NumberOfCyc_L0+3, 1
0x009B	0x0CC2      	RRF        VDelay_ms_NumberOfCyc_L0+2, 1
0x009C	0x0CC1      	RRF        VDelay_ms_NumberOfCyc_L0+1, 1
0x009D	0x0CC0      	RRF        VDelay_ms_NumberOfCyc_L0, 1
0x009E	0x13C3      	BCF        VDelay_ms_NumberOfCyc_L0+3, 7
0x009F	0x3EFF      	ADDLW      255
0x00A0	0x2898      	GOTO       L__VDelay_ms39
L__VDelay_ms40:
;__Lib_Delays.c,90 :: 		while (NumberOfCyc--)
L_VDelay_ms16:
0x00A1	0x0840      	MOVF       VDelay_ms_NumberOfCyc_L0, 0
0x00A2	0x00F0      	MOVWF      R0
0x00A3	0x0841      	MOVF       VDelay_ms_NumberOfCyc_L0+1, 0
0x00A4	0x00F1      	MOVWF      R0+1
0x00A5	0x0842      	MOVF       VDelay_ms_NumberOfCyc_L0+2, 0
0x00A6	0x00F2      	MOVWF      R0+2
0x00A7	0x0843      	MOVF       VDelay_ms_NumberOfCyc_L0+3, 0
0x00A8	0x00F3      	MOVWF      R0+3
0x00A9	0x3001      	MOVLW      1
0x00AA	0x02C0      	SUBWF      VDelay_ms_NumberOfCyc_L0, 1
0x00AB	0x1C03      	BTFSS      STATUS, 0
0x00AC	0x02C1      	SUBWF      VDelay_ms_NumberOfCyc_L0+1, 1
0x00AD	0x1C03      	BTFSS      STATUS, 0
0x00AE	0x02C2      	SUBWF      VDelay_ms_NumberOfCyc_L0+2, 1
0x00AF	0x1C03      	BTFSS      STATUS, 0
0x00B0	0x02C3      	SUBWF      VDelay_ms_NumberOfCyc_L0+3, 1
0x00B1	0x0870      	MOVF       R0, 0
0x00B2	0x0471      	IORWF      R0+1, 0
0x00B3	0x0472      	IORWF      R0+2, 0
0x00B4	0x0473      	IORWF      R0+3, 0
0x00B5	0x1903      	BTFSC      STATUS, 2
0x00B6	0x28C0      	GOTO       L_VDelay_ms17
;__Lib_Delays.c,92 :: 		asm nop;
0x00B7	0x0000      	NOP
;__Lib_Delays.c,93 :: 		asm nop;
0x00B8	0x0000      	NOP
;__Lib_Delays.c,94 :: 		asm nop;
0x00B9	0x0000      	NOP
;__Lib_Delays.c,95 :: 		asm nop;
0x00BA	0x0000      	NOP
;__Lib_Delays.c,96 :: 		asm nop;
0x00BB	0x0000      	NOP
;__Lib_Delays.c,97 :: 		asm nop;
0x00BC	0x0000      	NOP
;__Lib_Delays.c,98 :: 		asm nop;
0x00BD	0x0000      	NOP
;__Lib_Delays.c,99 :: 		asm nop;
0x00BE	0x0000      	NOP
;__Lib_Delays.c,100 :: 		}
0x00BF	0x28A1      	GOTO       L_VDelay_ms16
L_VDelay_ms17:
;__Lib_Delays.c,101 :: 		}
L_end_VDelay_ms:
0x00C0	0x0008      	RETURN
; end of _VDelay_ms
_Lcd_Cmd:
;__Lib_Lcd.c,18 :: 		
;__Lib_Lcd.c,20 :: 		
0x00C1	0x1283      	BCF        STATUS, 5
0x00C2	0x1303      	BCF        STATUS, 6
0x00C3	0x1BBE      	BTFSC      FARG_Lcd_Cmd_out_char, 7
0x00C4	0x28C7      	GOTO       L__Lcd_Cmd21
0x00C5	0x1388      	BCF        LCD_D7, BitPos(LCD_D7+0)
0x00C6	0x28C8      	GOTO       L__Lcd_Cmd22
L__Lcd_Cmd21:
0x00C7	0x1788      	BSF        LCD_D7, BitPos(LCD_D7+0)
L__Lcd_Cmd22:
;__Lib_Lcd.c,21 :: 		
0x00C8	0x1B3E      	BTFSC      FARG_Lcd_Cmd_out_char, 6
0x00C9	0x28CC      	GOTO       L__Lcd_Cmd23
0x00CA	0x1308      	BCF        LCD_D6, BitPos(LCD_D6+0)
0x00CB	0x28CD      	GOTO       L__Lcd_Cmd24
L__Lcd_Cmd23:
0x00CC	0x1708      	BSF        LCD_D6, BitPos(LCD_D6+0)
L__Lcd_Cmd24:
;__Lib_Lcd.c,22 :: 		
0x00CD	0x1ABE      	BTFSC      FARG_Lcd_Cmd_out_char, 5
0x00CE	0x28D1      	GOTO       L__Lcd_Cmd25
0x00CF	0x1288      	BCF        LCD_D5, BitPos(LCD_D5+0)
0x00D0	0x28D2      	GOTO       L__Lcd_Cmd26
L__Lcd_Cmd25:
0x00D1	0x1688      	BSF        LCD_D5, BitPos(LCD_D5+0)
L__Lcd_Cmd26:
;__Lib_Lcd.c,23 :: 		
0x00D2	0x1A3E      	BTFSC      FARG_Lcd_Cmd_out_char, 4
0x00D3	0x28D6      	GOTO       L__Lcd_Cmd27
0x00D4	0x1208      	BCF        LCD_D4, BitPos(LCD_D4+0)
0x00D5	0x28D7      	GOTO       L__Lcd_Cmd28
L__Lcd_Cmd27:
0x00D6	0x1608      	BSF        LCD_D4, BitPos(LCD_D4+0)
L__Lcd_Cmd28:
;__Lib_Lcd.c,25 :: 		
0x00D7	0x1835      	BTFSC      __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
0x00D8	0x28DB      	GOTO       L__Lcd_Cmd29
0x00D9	0x1509      	BSF        LCD_RS, BitPos(LCD_RS+0)
0x00DA	0x28DC      	GOTO       L__Lcd_Cmd30
L__Lcd_Cmd29:
0x00DB	0x1109      	BCF        LCD_RS, BitPos(LCD_RS+0)
L__Lcd_Cmd30:
;__Lib_Lcd.c,28 :: 		
0x00DC	0x1489      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,29 :: 		
0x00DD	0x2003      	CALL       _Delay_1us
;__Lib_Lcd.c,30 :: 		
0x00DE	0x1089      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,33 :: 		
0x00DF	0x19BE      	BTFSC      FARG_Lcd_Cmd_out_char, 3
0x00E0	0x28E3      	GOTO       L__Lcd_Cmd31
0x00E1	0x1388      	BCF        LCD_D7, BitPos(LCD_D7+0)
0x00E2	0x28E4      	GOTO       L__Lcd_Cmd32
L__Lcd_Cmd31:
0x00E3	0x1788      	BSF        LCD_D7, BitPos(LCD_D7+0)
L__Lcd_Cmd32:
;__Lib_Lcd.c,34 :: 		
0x00E4	0x193E      	BTFSC      FARG_Lcd_Cmd_out_char, 2
0x00E5	0x28E8      	GOTO       L__Lcd_Cmd33
0x00E6	0x1308      	BCF        LCD_D6, BitPos(LCD_D6+0)
0x00E7	0x28E9      	GOTO       L__Lcd_Cmd34
L__Lcd_Cmd33:
0x00E8	0x1708      	BSF        LCD_D6, BitPos(LCD_D6+0)
L__Lcd_Cmd34:
;__Lib_Lcd.c,35 :: 		
0x00E9	0x18BE      	BTFSC      FARG_Lcd_Cmd_out_char, 1
0x00EA	0x28ED      	GOTO       L__Lcd_Cmd35
0x00EB	0x1288      	BCF        LCD_D5, BitPos(LCD_D5+0)
0x00EC	0x28EE      	GOTO       L__Lcd_Cmd36
L__Lcd_Cmd35:
0x00ED	0x1688      	BSF        LCD_D5, BitPos(LCD_D5+0)
L__Lcd_Cmd36:
;__Lib_Lcd.c,36 :: 		
0x00EE	0x183E      	BTFSC      FARG_Lcd_Cmd_out_char, 0
0x00EF	0x28F2      	GOTO       L__Lcd_Cmd37
0x00F0	0x1208      	BCF        LCD_D4, BitPos(LCD_D4+0)
0x00F1	0x28F3      	GOTO       L__Lcd_Cmd38
L__Lcd_Cmd37:
0x00F2	0x1608      	BSF        LCD_D4, BitPos(LCD_D4+0)
L__Lcd_Cmd38:
;__Lib_Lcd.c,38 :: 		
0x00F3	0x1835      	BTFSC      __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
0x00F4	0x28F7      	GOTO       L__Lcd_Cmd39
0x00F5	0x1509      	BSF        LCD_RS, BitPos(LCD_RS+0)
0x00F6	0x28F8      	GOTO       L__Lcd_Cmd40
L__Lcd_Cmd39:
0x00F7	0x1109      	BCF        LCD_RS, BitPos(LCD_RS+0)
L__Lcd_Cmd40:
;__Lib_Lcd.c,40 :: 		
0x00F8	0x1489      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,41 :: 		
0x00F9	0x2003      	CALL       _Delay_1us
;__Lib_Lcd.c,42 :: 		
0x00FA	0x1089      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,44 :: 		
0x00FB	0x1C35      	BTFSS      __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
0x00FC	0x28FF      	GOTO       L_Lcd_Cmd0
;__Lib_Lcd.c,45 :: 		
0x00FD	0x203D      	CALL       _Delay_5500us
0x00FE	0x2900      	GOTO       L_Lcd_Cmd1
L_Lcd_Cmd0:
;__Lib_Lcd.c,47 :: 		
0x00FF	0x204A      	CALL       _Delay_50us
L_Lcd_Cmd1:
;__Lib_Lcd.c,48 :: 		
L_end_Lcd_Cmd:
0x0100	0x0008      	RETURN
; end of _Lcd_Cmd
_____DoICP:
;__Lib_System.c,6 :: 		
;__Lib_System.c,9 :: 		
0x0101	0x1283      	BCF        STATUS, 5
0x0102	0x1303      	BCF        STATUS, 6
0x0103	0x0838      	MOVF       ___DoICPAddr+1, 0
0x0104	0x008A      	MOVWF      PCLATH
;__Lib_System.c,10 :: 		
0x0105	0x0837      	MOVF       ___DoICPAddr, 0
0x0106	0x0082      	MOVWF      PCL
;__Lib_System.c,12 :: 		
L_end_____DoICP:
0x0107	0x0008      	RETURN
; end of _____DoICP
_Lcd_Chr_CP:
;__Lib_Lcd.c,50 :: 		
;__Lib_Lcd.c,52 :: 		
0x0108	0x1283      	BCF        STATUS, 5
0x0109	0x1303      	BCF        STATUS, 6
0x010A	0x1035      	BCF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,53 :: 		
0x010B	0x083D      	MOVF       FARG_Lcd_Chr_CP_out_char, 0
0x010C	0x00BE      	MOVWF      FARG_Lcd_Cmd_out_char
0x010D	0x20C1      	CALL       _Lcd_Cmd
;__Lib_Lcd.c,54 :: 		
0x010E	0x1435      	BSF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,55 :: 		
L_end_Lcd_Chr_CP:
0x010F	0x0008      	RETURN
; end of _Lcd_Chr_CP
_keypad_read:
;MAIN.c,22 :: 		unsigned char keypad_read(void){
;MAIN.c,24 :: 		KP_R1 = 0;      // SCAN KEYPAD ON FIRST ROW: 1, 2, 3, A
0x0110	0x1283      	BCF        STATUS, 5
0x0111	0x1303      	BCF        STATUS, 6
0x0112	0x1008      	BCF        PORTD, 0
;MAIN.c,25 :: 		KP_R2 = 1;      KP_R3 = 1;     KP_R4 = 1;
0x0113	0x1488      	BSF        PORTD, 1
0x0114	0x1508      	BSF        PORTD, 2
0x0115	0x1588      	BSF        PORTD, 3
;MAIN.c,26 :: 		VDelay_ms(t);
0x0116	0x0834      	MOVF       _t, 0
0x0117	0x00BE      	MOVWF      FARG_VDelay_ms_Time_ms
0x0118	0x01BF      	CLRF       FARG_VDelay_ms_Time_ms+1
0x0119	0x2051      	CALL       _VDelay_ms
;MAIN.c,27 :: 		if (KP_C1 == 0) return '*';    // KEY '*' IS PRESSED
0x011A	0x1806      	BTFSC      PORTB, 0
0x011B	0x291F      	GOTO       L_keypad_read0
0x011C	0x302A      	MOVLW      42
0x011D	0x00F0      	MOVWF      R0
0x011E	0x2980      	GOTO       L_end_keypad_read
L_keypad_read0:
;MAIN.c,28 :: 		if (KP_C2 == 0) return '0';    // KEY '0' IS PRESSED
0x011F	0x1886      	BTFSC      PORTB, 1
0x0120	0x2924      	GOTO       L_keypad_read1
0x0121	0x3030      	MOVLW      48
0x0122	0x00F0      	MOVWF      R0
0x0123	0x2980      	GOTO       L_end_keypad_read
L_keypad_read1:
;MAIN.c,29 :: 		if (KP_C3 == 0) return '#';    // KEY '#' IS PRESSED
0x0124	0x1906      	BTFSC      PORTB, 2
0x0125	0x2929      	GOTO       L_keypad_read2
0x0126	0x3023      	MOVLW      35
0x0127	0x00F0      	MOVWF      R0
0x0128	0x2980      	GOTO       L_end_keypad_read
L_keypad_read2:
;MAIN.c,30 :: 		VDelay_ms(t);
0x0129	0x0834      	MOVF       _t, 0
0x012A	0x00BE      	MOVWF      FARG_VDelay_ms_Time_ms
0x012B	0x01BF      	CLRF       FARG_VDelay_ms_Time_ms+1
0x012C	0x2051      	CALL       _VDelay_ms
;MAIN.c,31 :: 		KP_R1 = 1;      // SCAN KEYPAD ON SECOND ROW: 1, 2, 3, A
0x012D	0x1408      	BSF        PORTD, 0
;MAIN.c,32 :: 		KP_R2 = 0;      KP_R3 = 1;     KP_R4 = 1;
0x012E	0x1088      	BCF        PORTD, 1
0x012F	0x1508      	BSF        PORTD, 2
0x0130	0x1588      	BSF        PORTD, 3
;MAIN.c,33 :: 		VDelay_ms(t);
0x0131	0x0834      	MOVF       _t, 0
0x0132	0x00BE      	MOVWF      FARG_VDelay_ms_Time_ms
0x0133	0x01BF      	CLRF       FARG_VDelay_ms_Time_ms+1
0x0134	0x2051      	CALL       _VDelay_ms
;MAIN.c,34 :: 		if (KP_C1 == 0) return '7';    // KEY '7' IS PRESSED
0x0135	0x1806      	BTFSC      PORTB, 0
0x0136	0x293A      	GOTO       L_keypad_read3
0x0137	0x3037      	MOVLW      55
0x0138	0x00F0      	MOVWF      R0
0x0139	0x2980      	GOTO       L_end_keypad_read
L_keypad_read3:
;MAIN.c,35 :: 		if (KP_C2 == 0) return '8';    // KEY '8' IS PRESSED
0x013A	0x1886      	BTFSC      PORTB, 1
0x013B	0x293F      	GOTO       L_keypad_read4
0x013C	0x3038      	MOVLW      56
0x013D	0x00F0      	MOVWF      R0
0x013E	0x2980      	GOTO       L_end_keypad_read
L_keypad_read4:
;MAIN.c,36 :: 		if (KP_C3 == 0) return '9';    // KEY '9' IS PRESSED
0x013F	0x1906      	BTFSC      PORTB, 2
0x0140	0x2944      	GOTO       L_keypad_read5
0x0141	0x3039      	MOVLW      57
0x0142	0x00F0      	MOVWF      R0
0x0143	0x2980      	GOTO       L_end_keypad_read
L_keypad_read5:
;MAIN.c,37 :: 		VDelay_ms(t);
0x0144	0x0834      	MOVF       _t, 0
0x0145	0x00BE      	MOVWF      FARG_VDelay_ms_Time_ms
0x0146	0x01BF      	CLRF       FARG_VDelay_ms_Time_ms+1
0x0147	0x2051      	CALL       _VDelay_ms
;MAIN.c,38 :: 		KP_R1 = 1;      // SCAN KEYPAD ON THIRD ROW: 1, 2, 3, A
0x0148	0x1408      	BSF        PORTD, 0
;MAIN.c,39 :: 		KP_R2 = 1;      KP_R3 = 0;     KP_R4 = 1;
0x0149	0x1488      	BSF        PORTD, 1
0x014A	0x1108      	BCF        PORTD, 2
0x014B	0x1588      	BSF        PORTD, 3
;MAIN.c,40 :: 		VDelay_ms(t);
0x014C	0x0834      	MOVF       _t, 0
0x014D	0x00BE      	MOVWF      FARG_VDelay_ms_Time_ms
0x014E	0x01BF      	CLRF       FARG_VDelay_ms_Time_ms+1
0x014F	0x2051      	CALL       _VDelay_ms
;MAIN.c,41 :: 		if (KP_C1 == 0) return '4';    // KEY '4' IS PRESSED
0x0150	0x1806      	BTFSC      PORTB, 0
0x0151	0x2955      	GOTO       L_keypad_read6
0x0152	0x3034      	MOVLW      52
0x0153	0x00F0      	MOVWF      R0
0x0154	0x2980      	GOTO       L_end_keypad_read
L_keypad_read6:
;MAIN.c,42 :: 		if (KP_C2 == 0) return '5';    // KEY '5' IS PRESSED
0x0155	0x1886      	BTFSC      PORTB, 1
0x0156	0x295A      	GOTO       L_keypad_read7
0x0157	0x3035      	MOVLW      53
0x0158	0x00F0      	MOVWF      R0
0x0159	0x2980      	GOTO       L_end_keypad_read
L_keypad_read7:
;MAIN.c,43 :: 		if (KP_C3 == 0) return '6';    // KEY '6' IS PRESSED
0x015A	0x1906      	BTFSC      PORTB, 2
0x015B	0x295F      	GOTO       L_keypad_read8
0x015C	0x3036      	MOVLW      54
0x015D	0x00F0      	MOVWF      R0
0x015E	0x2980      	GOTO       L_end_keypad_read
L_keypad_read8:
;MAIN.c,44 :: 		VDelay_ms(t);
0x015F	0x0834      	MOVF       _t, 0
0x0160	0x00BE      	MOVWF      FARG_VDelay_ms_Time_ms
0x0161	0x01BF      	CLRF       FARG_VDelay_ms_Time_ms+1
0x0162	0x2051      	CALL       _VDelay_ms
